#,OFFENSE,BOND,WARRANT #,FILED BY,JAIL ID,ARREST DT,RELEASE DT,RACE_SEX,days_served,ARREST YEAR,RACE,SEX
1,FAILURE TO APPEAR,0,8080676,PAPD,193551,2005-01-01,2005-01-01,BM,0.0,2005,B,M
2,FAILURE TO APPEAR,0,8080488,PAPD,193551,2005-01-01,2005-01-01,BM,0.0,2005,B,M
3,FAILURE TO APPEAR,0,9080676,PAPD,193551,2005-01-01,2005-01-01,BM,0.0,2005,B,M
4,TRAFFIC OFFENSE-MOVING,0,80676,PAPD,193551,2005-01-01,2005-01-01,BM,0.0,2005,B,M
5,FAILURE TO MNTN FINAN RESP,0,80676,PAPD,193551,2005-01-01,2005-01-01,BM,0.0,2005,B,M
6,DRIVING-EXPIRED LIC. PLATE,0,80676,PAPD,193551,2005-01-01,2005-01-01,BM,0.0,2005,B,M
7,FAILURE TO APPEAR,0,9080488,PAPD,193551,2005-01-01,2005-01-01,BM,0.0,2005,B,M
8,TRAF OFF-MOVING-NO SEATBELT,0,80488,PAPD,193551,2005-01-01,2005-01-01,BM,0.0,2005,B,M
9,FAILURE TO APPEAR,0,0,PAPD,193551,2005-01-01,2005-01-01,BM,0.0,2005,B,M
10,FAILURE TO MNTN FINAN RESP,0,59267,PAPD,193551,2005-01-01,2005-01-01,BM,0.0,2005,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,216914,2005-01-01,2005-01-02,WM,1.0,2005,W,M
1,PUBLIC INTOXICATION,25,0,PAPD,226336,2005-01-01,2005-01-04,WM,3.0,2005,W,M
1,FAILURE TO APPEAR,25,9100128,PAPD,254247,2005-01-01,2005-01-02,WM,1.0,2005,W,M
2,DRIVING-WHILE LIC EXPIRED,25,100128,PAPD,254247,2005-01-01,2005-01-02,WM,1.0,2005,W,M
3,FAILURE TO MNTN FINAN RESP,25,100128,PAPD,254247,2005-01-01,2005-01-02,WM,1.0,2005,W,M
4,DRIVING-EXPIRED LIC. PLATE,25,100128,PAPD,254247,2005-01-01,2005-01-02,WM,1.0,2005,W,M
5,FAILURE TO APPEAR,25,9097408,PAPD,254247,2005-01-01,2005-01-02,WM,1.0,2005,W,M
6,DRIVING-WHILE LIC INVALID,25,97408,PAPD,254247,2005-01-01,2005-01-02,WM,1.0,2005,W,M
